gender,race_group,parent_education,lunch,test_prep,math_score,reading_score,writing_score
Female,D,bachelor's degree,standard,no,78,82,79
Female,D,some high school,standard,no,51,63,61
Female,C,some college,standard,no,55,69,65
Female,C,bachelor's degree,standard,yes,79,92,89
Male,B,associate's degree,standard,yes,91,89,92
Female,C,some college,standard,yes,88,93,93
Male,D,high school,free/reduced,no,63,57,56
Male,E,some college,standard,no,83,80,73
Female,B,high school,standard,no,87,95,86
Male,B,some high school,standard,no,72,68,67
Male,D,some college,standard,yes,65,77,74
Male,D,master's degree,standard,no,82,82,74
Female,A,bachelor's degree,standard,no,51,49,51
Male,D,master's degree,standard,no,89,84,82
Male,C,some high school,free/reduced,yes,53,37,40
Male,E,some college,free/reduced,yes,87,74,70
Female,C,some college,standard,yes,75,81,84
Male,D,bachelor's degree,free/reduced,yes,74,79,75
Male,C,bachelor's degree,standard,no,58,55,48
Male,B,some high school,standard,yes,51,54,41
Male,E,high school,standard,no,70,55,56
Female,C,associate's degree,standard,no,59,66,67
Male,D,some college,standard,yes,71,61,69
Female,D,some high school,standard,no,76,72,71
Female,C,some college,free/reduced,no,59,62,64
Female,E,some college,free/reduced,yes,42,55,54
Male,A,high school,standard,no,57,43,47
Male,D,some college,standard,no,88,73,78
Female,C,some college,free/reduced,no,22,39,33
Male,B,some high school,standard,no,88,84,75
Male,C,associate's degree,free/reduced,no,73,68,66
Female,D,bachelor's degree,standard,yes,68,75,81
Male,E,associate's degree,free/reduced,yes,100,100,93
Male,A,some high school,standard,yes,62,67,69
Male,A,bachelor's degree,standard,no,77,67,68
Female,B,associate's degree,standard,yes,59,70,66
Male,D,bachelor's degree,standard,no,54,49,47
Male,D,some high school,standard,no,62,67,61
Female,C,some college,standard,yes,70,89,88
Female,E,high school,free/reduced,yes,66,74,78
Male,B,some college,free/reduced,no,60,60,60
Female,B,associate's degree,standard,yes,61,86,87
Male,D,associate's degree,free/reduced,no,66,62,64
Male,B,associate's degree,free/reduced,yes,82,78,74
Female,E,some college,free/reduced,yes,75,88,85
Male,B,master's degree,free/reduced,no,49,53,52
Male,C,high school,standard,no,52,53,49
Female,E,master's degree,standard,no,81,92,91
Female,C,bachelor's degree,standard,yes,96,100,100
Male,C,high school,free/reduced,yes,53,51,51
Female,B,master's degree,free/reduced,yes,58,76,78
Female,B,high school,standard,yes,68,83,78
Female,C,some college,free/reduced,yes,67,75,70
Male,A,high school,standard,yes,72,73,74
Male,E,some high school,standard,no,94,88,78
Female,D,some college,standard,no,79,86,81
Female,C,associate's degree,standard,no,63,67,70
Female,C,bachelor's degree,free/reduced,yes,43,51,54
Female,C,master's degree,standard,yes,81,91,87
Female,B,high school,free/reduced,yes,46,54,58
Female,C,associate's degree,standard,yes,71,77,77
Female,B,master's degree,free/reduced,yes,52,70,62
Female,D,some high school,standard,yes,97,100,100
Male,C,master's degree,free/reduced,yes,62,68,75
Female,C,some college,free/reduced,no,46,64,66
Female,E,high school,standard,no,50,50,47
Female,D,associate's degree,standard,no,65,69,70
Male,C,some high school,free/reduced,yes,45,52,49
Male,C,associate's degree,free/reduced,yes,65,67,65
Male,E,high school,standard,no,80,76,65
Male,D,some high school,standard,yes,62,66,68
Male,B,some high school,free/reduced,no,48,52,45
Female,C,bachelor's degree,standard,no,77,88,87
Female,E,associate's degree,standard,no,66,65,69
Male,D,some college,standard,yes,76,83,79
Female,B,some high school,standard,no,62,64,66
Male,D,some college,standard,yes,77,62,62
Female,C,master's degree,standard,yes,69,84,85
Male,D,associate's degree,standard,no,61,55,52
Male,C,some high school,free/reduced,yes,59,69,65
Male,E,high school,free/reduced,no,55,56,51
Female,B,some college,free/reduced,no,45,53,55
Female,B,bachelor's degree,free/reduced,no,78,79,76
Female,C,associate's degree,standard,yes,67,84,86
Female,D,some college,free/reduced,no,65,81,77
Male,C,associate's degree,standard,no,69,77,69
Female,B,associate's degree,standard,no,57,69,68
Male,C,some college,standard,no,59,41,42
Male,D,some high school,standard,yes,74,71,78
Male,E,bachelor's degree,standard,no,82,62,62
Male,E,high school,standard,yes,81,80,76
Female,B,some college,free/reduced,no,74,81,76
Female,B,some college,free/reduced,no,58,61,66
Male,D,some high school,free/reduced,yes,80,79,79
Male,C,some college,free/reduced,no,35,28,27
Female,C,high school,free/reduced,no,42,62,60
Male,C,associate's degree,free/reduced,yes,60,51,56
Male,E,high school,standard,yes,87,91,81
Male,B,some high school,standard,yes,84,83,75
Female,E,associate's degree,free/reduced,yes,83,86,88
Female,C,high school,free/reduced,no,34,42,39
Male,B,high school,free/reduced,no,66,77,70
Male,B,some high school,standard,yes,61,56,56
Female,D,high school,standard,yes,56,68,74
Male,B,associate's degree,standard,no,87,85,73
Female,C,some high school,free/reduced,no,55,65,62
Male,D,some high school,standard,no,86,80,75
Female,B,associate's degree,standard,yes,52,66,73
Female,E,master's degree,free/reduced,no,45,56,54
Female,C,some college,standard,no,72,72,71
Male,D,high school,standard,no,57,50,54
Male,A,some high school,free/reduced,no,68,72,64
Female,C,some college,standard,yes,88,95,94
Male,D,some college,standard,no,76,64,66
Male,C,associate's degree,standard,no,46,43,42
Female,B,bachelor's degree,standard,no,67,86,83
Male,E,some high school,standard,no,92,87,78
Male,C,bachelor's degree,standard,yes,83,82,84
Male,D,associate's degree,standard,no,80,75,77
Male,D,bachelor's degree,free/reduced,no,63,66,67
Female,D,some high school,standard,yes,64,60,74
Male,B,some college,standard,no,54,52,51
Male,C,associate's degree,standard,no,84,80,80
Male,D,high school,free/reduced,yes,73,68,66
Female,E,bachelor's degree,standard,no,80,83,83
Female,D,high school,standard,no,56,52,55
Male,E,some college,standard,no,59,51,43
Male,D,some high school,standard,no,75,74,69
Male,C,associate's degree,standard,no,85,76,71
Male,E,associate's degree,standard,no,89,76,74
Female,B,high school,standard,yes,58,70,68
Female,B,high school,standard,no,65,64,62
Male,C,high school,standard,no,68,60,53
Male,A,some high school,standard,yes,47,49,49
Female,D,some college,free/reduced,no,71,83,83
Female,B,some high school,standard,yes,60,70,70
Male,D,master's degree,standard,no,80,80,72
Male,D,high school,standard,no,54,52,52
Female,E,some college,standard,no,62,73,70
Female,C,associate's degree,free/reduced,no,64,73,68
Male,C,associate's degree,standard,yes,78,77,77
Female,B,some college,standard,no,70,75,78
Female,C,master's degree,free/reduced,yes,65,81,81
Female,C,some high school,free/reduced,yes,64,79,77
Male,C,some college,standard,yes,79,79,78
Female,C,some high school,free/reduced,no,44,50,51
Female,E,high school,standard,no,99,93,90
Male,D,high school,standard,no,76,73,68
Male,D,some high school,free/reduced,no,59,42,41
Female,C,bachelor's degree,standard,no,63,75,81
Female,D,high school,standard,no,69,72,77
Female,D,associate's degree,standard,yes,88,92,95
Female,E,some college,free/reduced,no,71,76,70
Male,C,bachelor's degree,standard,no,69,63,61
Male,C,some college,standard,no,58,49,42
Female,D,associate's degree,free/reduced,no,47,53,58
Female,D,some college,standard,no,65,70,71
Male,B,some college,standard,yes,88,85,76
Male,C,bachelor's degree,standard,no,83,78,73
Female,C,some high school,standard,yes,85,92,93
Female,E,high school,standard,yes,59,63,75
Female,C,some high school,free/reduced,no,65,86,80
Male,B,bachelor's degree,free/reduced,no,73,56,57
Male,D,high school,standard,no,53,52,42
Male,D,high school,standard,no,45,48,46
Female,D,bachelor's degree,free/reduced,no,73,79,84
Female,D,some college,free/reduced,yes,70,78,78
Female,B,some high school,standard,no,37,46,46
Male,B,associate's degree,standard,yes,81,82,82
Male,E,associate's degree,standard,yes,97,82,88
Female,B,some high school,standard,no,67,89,82
Male,B,bachelor's degree,free/reduced,no,88,75,76
Male,E,some high school,standard,yes,77,76,77
Male,C,associate's degree,standard,no,76,70,68
Male,D,some high school,standard,no,86,73,70
Male,C,some high school,standard,yes,63,60,57
Female,E,bachelor's degree,standard,no,65,73,75
Male,D,high school,free/reduced,yes,78,77,80
Male,B,associate's degree,free/reduced,no,67,62,60
Male,A,some high school,standard,yes,46,41,43
Male,E,associate's degree,standard,yes,71,74,68
Male,C,high school,free/reduced,yes,40,46,50
Male,D,associate's degree,free/reduced,no,90,87,75
Male,A,some college,free/reduced,yes,81,78,81
Male,D,some high school,free/reduced,no,56,54,52
Female,C,associate's degree,standard,yes,67,84,81
Male,B,associate's degree,standard,no,80,76,64
Female,C,associate's degree,standard,yes,74,75,83
Male,A,some college,standard,no,69,67,69
Male,E,some college,standard,yes,99,87,81
Male,C,some high school,standard,no,51,52,44
Female,B,associate's degree,free/reduced,no,53,71,67
Female,D,high school,free/reduced,no,49,57,52
Female,B,associate's degree,standard,no,73,76,80
Male,B,bachelor's degree,standard,no,66,60,57
Male,D,bachelor's degree,standard,yes,67,61,68
Female,C,associate's degree,free/reduced,yes,68,67,69
Female,C,bachelor's degree,standard,yes,59,64,75
Male,C,high school,standard,no,71,66,65
Female,D,master's degree,standard,yes,77,82,91
Male,C,associate's degree,standard,no,83,72,78
Male,B,bachelor's degree,standard,no,63,71,69
Female,D,associate's degree,free/reduced,no,56,65,63
Female,C,high school,free/reduced,yes,67,79,84
Female,E,high school,standard,no,75,86,79
Female,C,some college,standard,no,71,81,80
Female,C,some high school,free/reduced,no,43,53,53
Female,C,high school,free/reduced,no,41,46,43
Female,C,some college,standard,no,82,90,94
Male,C,some college,standard,no,61,61,62
Male,A,some college,free/reduced,no,28,23,19
Male,C,associate's degree,standard,yes,82,75,77
Female,B,some high school,standard,no,41,55,51
Male,C,high school,standard,no,71,60,61
Male,C,associate's degree,standard,no,47,37,35
Male,E,associate's degree,standard,yes,62,56,53
Male,B,associate's degree,standard,no,90,78,81
Female,C,bachelor's degree,standard,no,83,93,95
Female,B,some college,free/reduced,no,61,68,66
Male,D,some high school,standard,yes,76,70,69
Male,C,associate's degree,standard,no,49,51,43
Female,B,some high school,free/reduced,no,24,38,27
Female,D,some high school,free/reduced,yes,35,55,60
Male,C,high school,free/reduced,no,58,61,52
Female,C,high school,standard,no,61,73,63
Female,B,high school,standard,yes,69,76,74
Male,D,associate's degree,standard,yes,67,72,67
Male,D,some college,standard,no,79,73,67
Female,C,high school,standard,no,72,80,75
Male,B,some college,standard,no,62,61,57
Female,C,bachelor's degree,standard,yes,77,94,95
Male,D,high school,free/reduced,no,75,74,66
Male,E,associate's degree,standard,no,87,74,76
Female,B,bachelor's degree,standard,no,52,65,69
Male,E,some college,standard,no,66,57,52
Female,C,some college,standard,yes,63,78,80
Female,C,associate's degree,standard,no,46,58,57
Female,C,some college,standard,no,59,71,70
Female,B,bachelor's degree,standard,no,61,72,70
Male,A,associate's degree,standard,no,63,61,61
Female,C,some college,free/reduced,yes,42,66,69
Male,D,some college,free/reduced,no,59,62,61
Female,D,some college,standard,no,80,90,89
Female,B,high school,standard,no,58,62,59
Male,B,some high school,standard,yes,85,84,78
Female,C,some college,standard,no,52,58,58
Female,D,some high school,free/reduced,no,27,34,32
Male,C,some college,standard,no,59,60,58
Male,A,bachelor's degree,free/reduced,yes,49,58,60
Male,C,high school,standard,yes,69,58,53
Male,C,bachelor's degree,free/reduced,no,61,66,61
Female,A,some high school,free/reduced,no,44,64,58
Female,D,some high school,standard,no,73,84,85
Male,E,some college,standard,no,84,77,71
Female,C,some college,free/reduced,yes,45,73,70
Male,D,some high school,standard,no,74,74,72
Female,D,some college,standard,yes,82,97,96
Female,D,bachelor's degree,standard,no,59,70,73
Male,E,associate's degree,free/reduced,no,46,43,41
Female,D,some high school,standard,no,80,90,82
Female,D,master's degree,free/reduced,yes,85,95,100
Female,A,some high school,standard,no,71,83,77
Male,A,bachelor's degree,standard,no,66,64,62
Female,B,associate's degree,standard,no,80,86,83
Male,C,associate's degree,standard,yes,87,100,95
Male,C,master's degree,free/reduced,no,79,81,71
Female,E,some high school,free/reduced,no,38,49,45
Female,A,some high school,free/reduced,no,38,43,43
Female,E,some college,standard,no,67,76,75
Female,E,bachelor's degree,standard,no,64,73,70
Female,C,associate's degree,free/reduced,no,57,78,67
Female,D,high school,standard,no,62,64,64
Male,D,master's degree,standard,no,73,70,75
Male,E,some high school,free/reduced,yes,73,67,59
Female,D,some college,standard,no,77,68,77
Male,E,some college,standard,no,76,67,67
Male,C,associate's degree,standard,yes,57,54,56
Female,C,some high school,standard,yes,65,74,77
Male,A,high school,free/reduced,no,48,45,41
Female,B,high school,free/reduced,no,50,67,63
Female,C,associate's degree,standard,no,85,89,95
Male,B,some high school,standard,no,74,63,57
Male,D,some high school,standard,no,60,59,54
Female,C,some high school,standard,yes,59,54,67
Male,A,some college,standard,no,53,43,43
Female,A,some college,free/reduced,no,49,65,55
Female,D,high school,standard,yes,88,99,100
Female,C,high school,standard,no,54,59,62
Female,C,some high school,standard,no,63,73,68
Male,B,associate's degree,standard,yes,65,65,63
Female,B,associate's degree,standard,no,82,80,77
Female,D,high school,free/reduced,yes,52,57,56
Male,D,associate's degree,standard,yes,87,84,85
Female,D,master's degree,standard,yes,70,71,74
Male,E,some college,standard,yes,84,83,78
Male,D,associate's degree,standard,no,71,66,60
Male,B,some high school,standard,yes,63,67,67
Female,C,bachelor's degree,free/reduced,yes,51,72,79
Male,E,high school,standard,no,84,73,69
Male,C,bachelor's degree,standard,yes,71,74,68
Male,C,associate's degree,standard,no,74,73,67
Male,D,some college,standard,no,68,59,62
Male,E,high school,free/reduced,yes,57,56,54
Female,C,associate's degree,free/reduced,yes,82,93,93
Female,D,high school,standard,yes,57,58,64
Female,D,master's degree,free/reduced,yes,47,58,67
Female,A,some high school,standard,yes,59,85,80
Male,B,some college,free/reduced,no,41,39,34
Female,C,some college,free/reduced,no,62,67,62
Male,C,bachelor's degree,standard,no,86,83,86
Male,C,some high school,free/reduced,no,69,71,65
Male,A,some high school,free/reduced,no,65,59,53
Male,C,some high school,free/reduced,no,68,63,54
Male,C,associate's degree,free/reduced,no,64,66,59
Female,C,high school,standard,no,61,72,70
Male,C,high school,standard,no,61,56,55
Female,A,some high school,free/reduced,no,47,59,50
Male,C,some high school,standard,no,73,66,66
Male,C,some college,free/reduced,yes,50,48,53
Male,D,associate's degree,standard,no,75,68,64
Male,D,associate's degree,free/reduced,no,75,66,73
Male,C,high school,standard,no,70,56,51
Male,D,some high school,standard,yes,89,88,82
Female,C,some college,standard,yes,67,81,79
Female,D,high school,standard,no,78,81,80
Female,A,some high school,free/reduced,no,59,73,69
Female,B,associate's degree,standard,no,73,83,76
Male,A,some high school,free/reduced,no,79,82,73
Female,C,some high school,standard,yes,67,74,77
Male,D,some college,free/reduced,no,69,66,60
Male,C,high school,standard,yes,86,81,80
Male,B,high school,standard,no,47,46,42
Male,B,associate's degree,standard,no,81,73,72
Female,C,some college,free/reduced,yes,64,85,85
Female,E,some college,standard,no,100,92,97
Female,C,associate's degree,free/reduced,no,65,77,74
Male,C,some college,free/reduced,no,65,58,49
Female,C,associate's degree,free/reduced,no,53,61,62
Male,C,bachelor's degree,free/reduced,no,37,56,47
Female,D,bachelor's degree,standard,no,79,89,89
Male,D,associate's degree,free/reduced,no,53,54,48
Female,E,bachelor's degree,standard,no,100,100,100
Male,B,high school,standard,yes,72,65,68
Male,C,bachelor's degree,free/reduced,no,53,58,55
Male,B,some college,free/reduced,no,54,54,45
Female,E,some college,standard,no,71,70,76
Female,C,some college,free/reduced,no,77,90,91
Male,A,bachelor's degree,standard,yes,75,58,62
Female,C,some college,standard,no,84,87,91
Female,D,associate's degree,free/reduced,no,26,31,38
Male,A,high school,free/reduced,yes,72,67,65
Female,A,high school,free/reduced,yes,77,88,85
Male,C,some college,standard,no,91,74,76
Female,C,associate's degree,standard,yes,83,85,90
Female,C,high school,standard,no,63,69,74
Female,C,associate's degree,standard,yes,68,86,84
Female,D,some high school,standard,no,59,67,61
Female,B,associate's degree,standard,yes,90,90,91
Female,D,bachelor's degree,standard,yes,71,76,83
Male,E,bachelor's degree,standard,yes,76,62,66
Male,D,associate's degree,standard,no,80,68,72
Female,D,master's degree,standard,no,55,64,70
Male,E,associate's degree,standard,no,76,71,67
Male,B,high school,standard,yes,73,71,68
Female,D,associate's degree,free/reduced,no,52,59,56
Male,C,some college,free/reduced,no,68,68,61
Male,A,high school,standard,no,59,52,46
Female,B,associate's degree,standard,no,49,52,54
Male,C,high school,standard,no,70,74,71
Male,D,some college,free/reduced,no,61,47,56
Female,C,associate's degree,free/reduced,no,60,75,74
Male,B,some high school,standard,yes,64,53,57
Male,A,associate's degree,free/reduced,yes,79,82,82
Female,A,associate's degree,free/reduced,no,65,85,76
Female,C,associate's degree,standard,no,64,64,70
Female,C,some college,standard,no,83,83,90
Female,C,bachelor's degree,standard,no,81,88,90
Female,B,high school,standard,no,54,64,68
Male,D,high school,standard,yes,68,64,66
Female,C,some college,standard,no,54,48,52
Female,D,some college,free/reduced,yes,59,78,76
Female,B,some high school,standard,no,66,69,68
Male,E,some college,standard,no,76,71,72
Female,D,master's degree,standard,no,74,79,82
Female,B,associate's degree,standard,yes,94,87,92
Male,C,some college,free/reduced,no,63,61,54
Female,E,associate's degree,standard,yes,95,89,92
Female,D,master's degree,free/reduced,no,40,59,54
Female,B,some high school,standard,no,82,82,80
Male,A,high school,standard,no,68,70,66
Male,B,bachelor's degree,free/reduced,no,55,59,54
Male,C,master's degree,standard,no,79,78,77
Female,C,bachelor's degree,standard,no,86,92,87
Male,D,some college,standard,no,76,71,73
Male,A,some high school,standard,no,64,50,43
Male,D,some high school,free/reduced,no,62,49,52
Female,B,some high school,standard,yes,54,61,62
Female,B,master's degree,free/reduced,yes,77,97,94
Female,C,some high school,standard,yes,76,87,85
Female,D,some college,standard,no,74,89,84
Female,E,some college,standard,yes,66,74,73
Female,D,some high school,standard,yes,66,78,78
Female,B,high school,free/reduced,yes,67,78,79
Male,D,some college,standard,no,71,49,52
Female,C,associate's degree,standard,no,91,86,84
Male,D,bachelor's degree,standard,no,69,58,57
Male,C,master's degree,free/reduced,no,54,59,50
Male,C,high school,standard,yes,53,52,49
Male,E,some college,standard,no,68,60,59
Male,C,some high school,free/reduced,yes,56,61,60
Female,C,high school,free/reduced,no,36,53,43
Female,D,bachelor's degree,free/reduced,no,29,41,47
Female,C,associate's degree,standard,no,62,74,70
Female,C,associate's degree,standard,yes,68,67,73
Female,C,some high school,standard,no,47,54,53
Male,E,associate's degree,standard,yes,62,61,58
Female,E,associate's degree,standard,yes,79,88,94
Male,B,high school,standard,yes,73,69,68
Female,C,bachelor's degree,free/reduced,yes,66,83,83
Male,C,associate's degree,standard,yes,51,60,58
Female,D,high school,standard,no,51,66,62
Male,E,bachelor's degree,standard,yes,85,66,71
Male,A,associate's degree,standard,yes,97,92,86
Male,C,high school,standard,yes,75,69,68
Male,D,associate's degree,free/reduced,yes,79,82,80
Female,C,associate's degree,standard,no,81,77,79
Female,D,associate's degree,standard,no,82,95,89
Female,D,master's degree,standard,no,64,63,66
Male,E,some high school,free/reduced,yes,78,83,80
Female,A,some high school,standard,yes,92,100,97
Male,C,high school,standard,yes,72,67,64
Female,C,high school,free/reduced,no,62,67,64
Male,C,master's degree,standard,no,79,72,69
Male,C,some high school,free/reduced,no,79,76,65
Male,B,bachelor's degree,free/reduced,yes,87,90,88
Female,B,associate's degree,standard,no,40,48,50
Male,D,some college,free/reduced,no,77,62,64
Male,E,associate's degree,standard,no,53,45,40
Female,C,some college,free/reduced,no,32,39,33
Female,C,associate's degree,standard,yes,55,72,79
Male,C,master's degree,free/reduced,no,61,67,66
Female,B,associate's degree,free/reduced,no,53,70,70
Male,D,some high school,standard,no,73,66,62
Female,D,some college,standard,yes,74,75,79
Female,C,some college,standard,no,63,74,74
Male,C,bachelor's degree,standard,yes,96,90,92
Female,D,some college,free/reduced,yes,63,80,80
Male,B,bachelor's degree,free/reduced,no,48,51,46
Male,B,associate's degree,standard,no,48,43,45
Female,E,bachelor's degree,free/reduced,yes,92,100,100
Female,D,master's degree,free/reduced,yes,61,71,78
Male,B,high school,free/reduced,no,63,48,47
Male,D,bachelor's degree,free/reduced,no,68,68,67
Male,B,some college,standard,yes,71,75,70
Male,A,bachelor's degree,standard,no,91,96,92
Female,C,some college,standard,no,53,62,56
Female,C,high school,free/reduced,yes,50,66,64
Female,E,high school,standard,no,74,81,71
Male,A,associate's degree,free/reduced,yes,40,55,53
Male,A,some college,standard,yes,61,51,52
Female,B,high school,standard,no,81,91,89
Female,B,some college,free/reduced,yes,48,56,58
Female,D,master's degree,standard,no,53,61,68
Female,D,some high school,standard,no,81,97,96
Female,E,some high school,standard,no,77,79,80
Female,D,bachelor's degree,free/reduced,no,63,73,78
Female,D,associate's degree,standard,yes,73,75,80
Female,D,some college,standard,no,69,77,77
Female,C,associate's degree,standard,no,65,76,76
Female,A,high school,standard,no,55,73,73
Female,C,bachelor's degree,free/reduced,no,44,63,62
Female,C,some college,standard,no,54,64,65
Female,A,some high school,standard,no,48,66,65
Male,C,some college,free/reduced,no,58,57,54
Male,A,some high school,standard,no,71,62,50
Male,E,bachelor's degree,standard,no,68,68,64
Female,E,high school,standard,no,74,76,73
Female,C,bachelor's degree,standard,yes,92,100,99
Female,C,bachelor's degree,standard,yes,56,79,72
Male,B,high school,free/reduced,no,30,24,15
Male,A,some high school,standard,no,53,54,48
Female,D,high school,standard,no,69,77,73
Female,D,some high school,standard,no,65,82,81
Female,D,master's degree,standard,no,54,60,63
Female,C,high school,standard,no,29,29,30
Female,E,some college,standard,no,76,78,80
Male,D,high school,free/reduced,no,60,57,51
Male,D,master's degree,free/reduced,yes,84,89,90
Male,C,some high school,standard,no,75,72,62
Female,C,associate's degree,standard,no,85,84,82
Female,C,master's degree,free/reduced,no,40,58,54
Female,E,some college,standard,no,61,64,62
Female,B,associate's degree,standard,no,58,63,65
Male,D,some college,free/reduced,yes,69,60,63
Female,C,some college,standard,no,58,59,66
Male,C,bachelor's degree,standard,yes,94,90,91
Female,C,associate's degree,standard,no,65,77,74
Female,A,associate's degree,standard,no,82,93,93
Female,C,high school,standard,no,60,68,72
Female,E,bachelor's degree,standard,no,37,45,38
Male,D,bachelor's degree,standard,no,88,78,83
Male,D,master's degree,standard,no,95,81,84
Male,C,associate's degree,free/reduced,yes,65,73,68
Female,C,high school,free/reduced,no,35,61,54
Male,B,bachelor's degree,free/reduced,no,62,63,56
Male,C,high school,free/reduced,yes,58,51,52
Male,A,some college,standard,yes,100,96,86
Female,E,bachelor's degree,free/reduced,no,61,58,62
Male,D,some college,standard,yes,100,97,99
Male,B,associate's degree,free/reduced,yes,69,70,63
Male,D,associate's degree,standard,no,61,48,46
Male,D,some college,free/reduced,no,49,57,46
Female,C,some high school,standard,yes,44,51,55
Male,D,some college,standard,no,67,64,70
Male,B,high school,standard,no,79,60,65
